GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sinapipro-api,com.sinapipro.api.measurement.api,MeasurementController.MeasurementResponse,70,0,0,0,5,0,3,0,3,0
sinapipro-api,com.sinapipro.api.measurement.api,MeasurementController.ItemResponse,18,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.measurement.api,MeasurementController.CreateMeasurementRequest,18,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.measurement.api,MeasurementController.ItemRequest,15,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.dailylog.domain,DailyLog,30,45,0,0,5,14,5,5,5,5
sinapipro-api,com.sinapipro.api.dailylog.domain,DailyLogEquipment,16,18,0,0,5,4,5,2,5,2
sinapipro-api,com.sinapipro.api.dailylog.domain,DailyLogOccurrence,16,12,0,0,5,3,5,1,5,1
sinapipro-api,com.sinapipro.api.dailylog.domain,DailyLogLabor,16,18,0,0,5,4,5,2,5,2
sinapipro-api,com.sinapipro.api.equipment.domain,Equipment,48,77,8,0,11,26,13,10,9,10
sinapipro-api,com.sinapipro.api.equipment.domain,EquipmentUsage,28,34,0,0,9,11,9,3,9,3
sinapipro-api,com.sinapipro.api.contract.application,ContractService,157,113,1,5,25,25,12,9,11,7
sinapipro-api,com.sinapipro.api.contract.application,ContractService.ContractFinancialSummary,0,24,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.analytics.application,EarnedValueService.EvmResult,0,39,0,0,0,2,0,2,0,2
sinapipro-api,com.sinapipro.api.analytics.application,PortfolioAnalyticsService,0,31,0,0,0,9,0,2,0,2
sinapipro-api,com.sinapipro.api.analytics.application,PortfolioAnalyticsService.PortfolioSummary,0,12,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.analytics.application,CashFlowService.CashFlowProjection,0,15,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.analytics.application,CashFlowService.MonthlyFlow,0,18,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.analytics.application,CashFlowService,4,177,4,10,0,33,3,6,0,2
sinapipro-api,com.sinapipro.api.analytics.application,EarnedValueService,3,144,4,8,0,27,4,4,0,2
sinapipro-api,com.sinapipro.api.supplier.api,CreateSupplierRequest,27,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.supplier.api,SupplierResponse,62,0,0,0,5,0,2,0,2,0
sinapipro-api,com.sinapipro.api.supplier.api,SupplierController,53,0,0,0,12,0,6,0,6,0
sinapipro-api,com.sinapipro.api.supplier.api,UpdateSupplierRequest,21,0,0,0,1,0,1,0,1,0
