GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sinapipro-api,com.sinapipro.api.shared.api,PageResponse,42,0,0,0,9,0,2,0,2,0
sinapipro-api,com.sinapipro.api.budget.domain,BudgetStatus,0,33,0,0,0,2,0,1,0,1
sinapipro-api,com.sinapipro.api.budget.domain,BudgetStage,75,0,2,0,20,0,11,0,10,0
sinapipro-api,com.sinapipro.api.budget.domain,BudgetItem,20,40,0,0,4,15,4,6,4,6
sinapipro-api,com.sinapipro.api.budget.domain,BdiConfig,85,0,0,0,25,0,11,0,11,0
sinapipro-api,com.sinapipro.api.budget.domain,Budget,20,70,2,2,5,24,7,6,5,6
sinapipro-api,com.sinapipro.api.analytics.api,AnalyticsController,34,0,0,0,10,0,5,0,5,0
sinapipro-api,com.sinapipro.api.document.application,DocumentService,114,0,4,0,18,0,7,0,5,0
sinapipro-api,com.sinapipro.api.procurement.api,ProcurementController.CreatePurchaseRequestReq,18,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.procurement.api,ProcurementController.ReceivingResponse,15,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.procurement.api,ProcurementController.SupplierQuote,15,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.procurement.api,ProcurementController.ReceiveReq,12,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.procurement.api,ProcurementController.PurchaseRequestResponse,42,0,0,0,3,0,2,0,2,0
sinapipro-api,com.sinapipro.api.procurement.api,ProcurementController,159,0,0,0,23,0,10,0,10,0
sinapipro-api,com.sinapipro.api.procurement.api,ProcurementController.QuotationSummary,15,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.procurement.api,ProcurementController.GenerateOrderReq,6,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.procurement.api,ProcurementController.PurchaseOrderResponse,48,0,0,0,3,0,2,0,2,0
sinapipro-api,com.sinapipro.api.procurement.api,ProcurementController.CreateQuotationReq,6,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.procurement.api,ProcurementController.AddQuotationResponseReq,15,0,0,0,1,0,1,0,1,0
sinapipro-api,com.sinapipro.api.dailylog.application,DailyLogService.DailyLogSummary,0,15,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.dailylog.application,DailyLogService.EquipmentInput,0,12,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.dailylog.application,DailyLogService,18,219,5,15,1,40,6,15,2,9
sinapipro-api,com.sinapipro.api.dailylog.application,DailyLogService.OccurrenceInput,0,9,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.dailylog.application,DailyLogService.LaborInput,0,12,0,0,0,1,0,1,0,1
sinapipro-api,com.sinapipro.api.supplier.domain,Supplier,73,0,0,0,26,0,11,0,11,0
sinapipro-api,com.sinapipro.api.jobcosting.api,JobCostingController,152,0,2,0,26,0,12,0,11,0
sinapipro-api,com.sinapipro.api.jobcosting.api,JobCostingController.CreateCostCodeRequest,15,0,0,0,1,0,1,0,1,0
